var_name,dc_logic,filtrage,repeat_permut,random_permut,load_general_exception_filters,accuracy,DP,OP,f1,precision,recall,confusion_matrix,Number_rules,Number_conditions,Average_conditions_per_rule,Std_conditions_per_rule,Number_correlation_POS,Number_correlation_NEG,fairnes_true
false_1_Model_4_sans_DC_logic_Filtrage_True_5_0,False,0,1,False,True,0.9571428571428571,1,0,0.9411764705882351,1.0,0.8888888888888881,"[86, 0]",53,1132,21.358490566037737,6.9447804198620755,0,8,False
false_1_Model_4_sans_DC_logic_Filtrage_True_5_0,False,0,1,False,True,0.9571428571428571,1,0,0.9411764705882351,1.0,0.8888888888888881,"[6, 48]",53,1132,21.358490566037737,6.9447804198620755,0,8,False
false_1_Model_4_sans_DC_logic_Filtrage_False_5_0,False,0,1,False,False,0.9642857142857141,1,0,0.9504950495049501,1.0,0.90566037735849,"[87, 0]",61,1316,21.57377049180328,6.497058644440051,0,0,False
false_1_Model_4_sans_DC_logic_Filtrage_False_5_0,False,0,1,False,False,0.9642857142857141,1,0,0.9504950495049501,1.0,0.90566037735849,"[5, 48]",61,1316,21.57377049180328,6.497058644440051,0,0,False
false_1_Model_4_avec_DC_logic_Filtrage_True_5_0,True,0,1,False,True,0.9571428571428571,1,0,0.9411764705882351,1.0,0.8888888888888881,"[86, 0]",53,240,4.528301886792453,1.8285345569185991,0,8,False
false_1_Model_4_avec_DC_logic_Filtrage_True_5_0,True,0,1,False,True,0.9571428571428571,1,0,0.9411764705882351,1.0,0.8888888888888881,"[6, 48]",53,240,4.528301886792453,1.8285345569185991,0,8,False
false_1_Model_4_avec_DC_logic_Filtrage_False_5_0,True,0,1,False,False,0.9642857142857141,1,0,0.9504950495049501,1.0,0.90566037735849,"[87, 0]",61,272,4.459016393442623,1.806851899469489,0,0,False
false_1_Model_4_avec_DC_logic_Filtrage_False_5_0,True,0,1,False,False,0.9642857142857141,1,0,0.9504950495049501,1.0,0.90566037735849,"[5, 48]",61,272,4.459016393442623,1.806851899469489,0,0,False
false_1_Model_5_sans_DC_logic_Filtrage_True_5_0,False,0,1,False,True,0.964028776978417,1,0,0.9514563106796111,0.98,0.924528301886792,"[85, 1]",46,855,18.58695652173913,5.829371235228517,0,17,False
false_1_Model_5_sans_DC_logic_Filtrage_True_5_0,False,0,1,False,True,0.964028776978417,1,0,0.9514563106796111,0.98,0.924528301886792,"[4, 49]",46,855,18.58695652173913,5.829371235228517,0,17,False
false_1_Model_5_sans_DC_logic_Filtrage_False_5_0,False,0,1,False,False,0.964028776978417,1,0,0.9494949494949491,0.9400000000000001,0.959183673469387,"[87, 3]",56,1085,19.375,5.547079347342553,0,0,False
false_1_Model_5_sans_DC_logic_Filtrage_False_5_0,False,0,1,False,False,0.964028776978417,1,0,0.9494949494949491,0.9400000000000001,0.959183673469387,"[2, 47]",56,1085,19.375,5.547079347342553,0,0,False
false_1_Model_5_avec_DC_logic_Filtrage_True_5_0,True,0,1,False,True,0.964028776978417,1,0,0.9514563106796111,0.98,0.924528301886792,"[85, 1]",46,196,4.2608695652173925,2.269215365339111,0,17,False
false_1_Model_5_avec_DC_logic_Filtrage_True_5_0,True,0,1,False,True,0.964028776978417,1,0,0.9514563106796111,0.98,0.924528301886792,"[4, 49]",46,196,4.2608695652173925,2.269215365339111,0,17,False
false_1_Model_5_avec_DC_logic_Filtrage_False_5_0,True,0,1,False,False,0.964028776978417,1,0,0.9494949494949491,0.9400000000000001,0.959183673469387,"[87, 3]",56,240,4.2857142857142865,2.177107236304024,0,0,False
false_1_Model_5_avec_DC_logic_Filtrage_False_5_0,True,0,1,False,False,0.964028776978417,1,0,0.9494949494949491,0.9400000000000001,0.959183673469387,"[2, 47]",56,240,4.2857142857142865,2.177107236304024,0,0,False
true_1_Model_1_sans_DC_logic_Filtrage_True_5_0,False,0,1,True,True,0.9642857142857141,1,0,0.9541284403669721,0.9811320754716981,0.928571428571428,"[83, 1]",46,611,13.282608695652174,7.753436947512685,0,7,False
true_1_Model_1_sans_DC_logic_Filtrage_True_5_0,False,0,1,True,True,0.9642857142857141,1,0,0.9541284403669721,0.9811320754716981,0.928571428571428,"[4, 52]",46,611,13.282608695652174,7.753436947512685,0,7,False
true_1_Model_1_sans_DC_logic_Filtrage_False_5_0,False,0,1,True,False,0.9714285714285711,1,0,0.9636363636363631,1.0,0.9298245614035081,"[83, 0]",53,737,13.90566037735849,7.39776649349002,0,0,False
true_1_Model_1_sans_DC_logic_Filtrage_False_5_0,False,0,1,True,False,0.9714285714285711,1,0,0.9636363636363631,1.0,0.9298245614035081,"[4, 53]",53,737,13.90566037735849,7.39776649349002,0,0,False
true_1_Model_1_avec_DC_logic_Filtrage_True_5_0,True,0,1,True,True,0.9642857142857141,1,0,0.9541284403669721,0.9811320754716981,0.928571428571428,"[83, 1]",46,429,9.326086956521738,4.823197333116042,0,7,False
