var_name,dc_logic,filtrage,repeat_permut,random_permut,load_general_exception_filters,accuracy,DP,OP,f1,precision,recall,confusion_matrix,Number_rules,Number_conditions,Average_conditions_per_rule,Std_conditions_per_rule,Number_correlation_POS,Number_correlation_NEG,fairnes_true,stat_parity,equal_odds
true_10_Model_1_sans_DC_logic_Filtrage_True_5_0,False,0,10,True,True,0.8390910486718871,0.686436024162548,-0.08767081222171001,0.6294200848656291,0.565797838525111,0.7091633466135451,"[365, 890]",265,2364,8.920754716981133,5.796334511570646,59,38,False,0.39738992789397004,0.775272804227617
true_10_Model_1_sans_DC_logic_Filtrage_False_5_0,False,0,10,True,False,0.8450790726239821,0.68066037735849,-0.10394595424535501,0.6664462809917351,0.6408137317228221,0.6942148760330571,"[4496, 565]",345,2901,8.408695652173913,5.323008279089603,0,0,False,0.385251277925235,0.772419326052269
true_10_Model_1_sans_DC_logic_Filtrage_False_5_0,False,0,10,True,False,0.8450790726239821,0.68066037735849,-0.10394595424535501,0.6664462809917351,0.6408137317228221,0.6942148760330571,"[444, 1008]",345,2901,8.408695652173913,5.323008279089603,0,0,False,0.385251277925235,0.772419326052269
true_10_Model_1_sans_DC_logic_Filtrage_Fairness_True_5F_100,False,100,10,True,True,0.833563641946875,1.0,0.0,0.668906536346976,0.696122059758423,0.6437389770723101,"[4334, 478]",265,2364,8.920754716981133,5.796334511570646,59,38,True,0.43814360862473806,0.6620659939883771
true_10_Model_1_sans_DC_logic_Filtrage_Fairness_True_5F_100,False,100,10,True,True,0.833563641946875,1.0,0.0,0.668906536346976,0.696122059758423,0.6437389770723101,"[606, 1095]",265,2364,8.920754716981133,5.796334511570646,59,38,True,0.43814360862473806,0.6620659939883771
true_10_Model_1_sans_DC_logic_Filtrage_Fairness_True_5F_50,False,50,10,True,True,0.8366344234607701,0.9021440351841671,-0.027329955473668004,0.66935985083903,0.6846789574062301,0.654711246200607,"[4372, 496]",266,2370,8.909774436090226,5.788189487491394,58,38,True,0.42945065612551403,0.6816161152451751
true_10_Model_1_sans_DC_logic_Filtrage_Fairness_True_5F_50,False,50,10,True,True,0.8366344234607701,0.9021440351841671,-0.027329955473668004,0.66935985083903,0.6846789574062301,0.654711246200607,"[568, 1077]",266,2370,8.909774436090226,5.788189487491394,58,38,True,0.42945065612551403,0.6816161152451751
true_10_Model_1_sans_DC_logic_Filtrage_Fairness_False_5F_100,False,100,10,True,False,0.822969445723936,1.0,0.0,0.6730932804082791,0.7546090273363001,0.60747185261003,"[4173, 386]",345,2901,8.408695652173913,5.323008279089603,0,0,True,0.43469791115522605,0.6596286349545101
true_10_Model_1_sans_DC_logic_Filtrage_Fairness_False_5F_100,False,100,10,True,False,0.822969445723936,1.0,0.0,0.6730932804082791,0.7546090273363001,0.60747185261003,"[767, 1187]",345,2901,8.408695652173913,5.323008279089603,0,0,True,0.43469791115522605,0.6596286349545101
true_10_Model_1_sans_DC_logic_Filtrage_Fairness_False_5F_50,False,50,10,True,False,0.8275756179947791,0.8763619137849361,-0.040073698756333,0.6728808622196331,0.734265734265734,0.6209677419354831,"[4235, 418]",345,2901,8.408695652173913,5.323008279089603,0,0,True,0.377386954449453,0.8139266055449451
true_10_Model_1_sans_DC_logic_Filtrage_Fairness_False_5F_50,False,50,10,True,False,0.8275756179947791,0.8763619137849361,-0.040073698756333,0.6728808622196331,0.734265734265734,0.6209677419354831,"[705, 1155]",345,2901,8.408695652173913,5.323008279089603,0,0,True,0.377386954449453,0.8139266055449451
true_10_Model_1_avec_DC_logic_Filtrage_True_5_0,True,0,10,True,True,0.8390910486718871,0.686436024162548,-0.08767081222171001,0.6294200848656291,0.565797838525111,0.7091633466135451,"[4575, 683]",265,1566,5.909433962264151,3.796635260627861,59,38,False,0.39738992789397004,0.775272804227617
true_10_Model_1_avec_DC_logic_Filtrage_True_5_0,True,0,10,True,True,0.8390910486718871,0.686436024162548,-0.08767081222171001,0.6294200848656291,0.565797838525111,0.7091633466135451,"[365, 890]",265,1566,5.909433962264151,3.796635260627861,59,38,False,0.39738992789397004,0.775272804227617
true_10_Model_1_avec_DC_logic_Filtrage_False_5_0,True,0,10,True,False,0.8450790726239821,0.68066037735849,-0.10394595424535501,0.6664462809917351,0.6408137317228221,0.6942148760330571,"[4496, 565]",345,2007,5.817391304347826,3.542493861663614,0,0,False,0.385251277925235,0.772419326052269
true_10_Model_1_avec_DC_logic_Filtrage_False_5_0,True,0,10,True,False,0.8450790726239821,0.68066037735849,-0.10394595424535501,0.6664462809917351,0.6408137317228221,0.6942148760330571,"[444, 1008]",345,2007,5.817391304347826,3.542493861663614,0,0,False,0.385251277925235,0.772419326052269
true_10_Model_1_avec_DC_logic_Filtrage_Fairness_True_5F_100,True,100,10,True,True,0.8334101028711801,1.0,0.0,0.6728971962616821,0.7094723458359821,0.639908256880733,"[4312, 457]",285,1674,5.873684210526315,3.718824862294184,48,28,True,0.45905829263066705,0.593593562549214
true_10_Model_1_avec_DC_logic_Filtrage_Fairness_True_5F_100,True,100,10,True,True,0.8334101028711801,1.0,0.0,0.6728971962616821,0.7094723458359821,0.639908256880733,"[628, 1116]",285,1674,5.873684210526315,3.718824862294184,48,28,True,0.45905829263066705,0.593593562549214
true_10_Model_1_avec_DC_logic_Filtrage_Fairness_True_5F_50,True,50,10,True,True,0.8406264394288341,0.791963377416073,-0.062797481959158,0.6649451258876691,0.654799745708836,0.675409836065573,"[4445, 543]",286,1682,5.881118881118881,3.7144388662033982,46,28,True,0.439302377443799,0.6568658087253361
true_10_Model_1_avec_DC_logic_Filtrage_Fairness_True_5F_50,True,50,10,True,True,0.8406264394288341,0.791963377416073,-0.062797481959158,0.6649451258876691,0.654799745708836,0.675409836065573,"[495, 1030]",286,1682,5.881118881118881,3.7144388662033982,46,28,True,0.439302377443799,0.6568658087253361
true_10_Model_1_avec_DC_logic_Filtrage_Fairness_False_5F_100,True,100,10,True,False,0.8223552894211571,1.0,0.0,0.6730714891212201,0.75715193897012,0.605798575788402,"[4165, 382]",345,2007,5.817391304347826,3.542493861663614,0,0,True,0.436560686690774,0.655374497800786
true_10_Model_1_avec_DC_logic_Filtrage_Fairness_False_5F_100,True,100,10,True,False,0.8223552894211571,1.0,0.0,0.6730714891212201,0.75715193897012,0.605798575788402,"[775, 1191]",345,2007,5.817391304347826,3.542493861663614,0,0,True,0.436560686690774,0.655374497800786
true_10_Model_1_avec_DC_logic_Filtrage_Fairness_False_5F_50,True,50,10,True,False,0.840012283126055,0.7719132893496701,-0.07431291263626501,0.6723270440251571,0.679593134138588,0.6652146857498441,"[4402, 504]",345,2007,5.817391304347826,3.542493861663614,0,0,True,0.42355186692961205,0.7229082966797821
true_10_Model_1_avec_DC_logic_Filtrage_Fairness_False_5F_50,True,50,10,True,False,0.840012283126055,0.7719132893496701,-0.07431291263626501,0.6723270440251571,0.679593134138588,0.6652146857498441,"[538, 1069]",345,2007,5.817391304347826,3.542493861663614,0,0,True,0.42355186692961205,0.7229082966797821
true_10_Model_2_sans_DC_logic_Filtrage_True_5_0,False,0,10,True,True,0.8404484029484031,0.502115059221658,-0.180743243243243,0.639611515782171,0.566339066339066,0.734661354581673,"[4551, 706]",244,1513,6.200819672131147,3.717018810328287,45,77,False,0.32762792762792703,1.024934618831451
true_10_Model_2_sans_DC_logic_Filtrage_True_5_0,False,0,10,True,True,0.8404484029484031,0.502115059221658,-0.180743243243243,0.639611515782171,0.566339066339066,0.734661354581673,"[333, 922]",244,1513,6.200819672131147,3.717018810328287,45,77,False,0.32762792762792703,1.024934618831451
true_10_Model_2_sans_DC_logic_Filtrage_False_5_0,False,0,10,True,False,0.8436732186732181,0.5755068266446001,-0.157555282555282,0.6722472633612361,0.6412776412776411,0.706359945872801,"[4450, 584]",329,1973,5.996960486322188,3.360324995357816,0,0,False,0.36228216228216203,0.9265122732336091
true_10_Model_2_sans_DC_logic_Filtrage_False_5_0,False,0,10,True,False,0.8436732186732181,0.5755068266446001,-0.157555282555282,0.6722472633612361,0.6412776412776411,0.706359945872801,"[434, 1044]",329,1973,5.996960486322188,3.360324995357816,0,0,False,0.36228216228216203,0.9265122732336091
true_10_Model_2_sans_DC_logic_Filtrage_Fairness_True_5F_100,False,100,10,True,True,0.8450552825552821,1.0,0.0,0.6758753613877281,0.646191646191646,0.7084175084175081,"[4451, 576]",249,1546,6.208835341365462,3.680590882722488,43,71,True,0.442224442224442,0.716467600464002
true_10_Model_2_sans_DC_logic_Filtrage_Fairness_True_5F_100,False,100,10,True,True,0.8450552825552821,1.0,0.0,0.6758753613877281,0.646191646191646,0.7084175084175081,"[433, 1052]",249,1546,6.208835341365462,3.680590882722488,43,71,True,0.442224442224442,0.716467600464002
true_10_Model_2_sans_DC_logic_Filtrage_Fairness_True_5F_50,False,50,10,True,True,0.8432125307125301,0.7850779510022271,-0.059275184275184,0.664696223316912,0.621621621621621,0.714184897671136,"[4479, 616]",249,1546,6.208835341365462,3.680590882722488,43,71,True,0.39222999222999205,0.834252054786871
true_10_Model_2_sans_DC_logic_Filtrage_Fairness_True_5F_50,False,50,10,True,True,0.8432125307125301,0.7850779510022271,-0.059275184275184,0.664696223316912,0.621621621621621,0.714184897671136,"[405, 1012]",249,1546,6.208835341365462,3.680590882722488,43,71,True,0.39222999222999205,0.834252054786871
true_10_Model_2_sans_DC_logic_Filtrage_Fairness_False_5F_100,False,100,10,True,False,0.843980343980343,1.0,0.0,0.678481012658227,0.658476658476658,0.699738903394255,"[4424, 556]",329,1973,5.996960486322188,3.360324995357816,0,0,True,0.423243423243423,0.7345466626464311
true_10_Model_2_sans_DC_logic_Filtrage_Fairness_False_5F_100,False,100,10,True,False,0.843980343980343,1.0,0.0,0.678481012658227,0.658476658476658,0.699738903394255,"[460, 1072]",329,1973,5.996960486322188,3.360324995357816,0,0,True,0.423243423243423,0.7345466626464311
true_10_Model_2_sans_DC_logic_Filtrage_Fairness_False_5F_50,False,50,10,True,False,0.8435196560196561,0.7947882736156351,-0.058046683046683006,0.6711842529848331,0.638820638820638,0.707002039428959,"[4453, 588]",329,1973,5.996960486322188,3.360324995357816,0,0,True,0.36119436119436105,0.9296751984991121
true_10_Model_2_sans_DC_logic_Filtrage_Fairness_False_5F_50,False,50,10,True,False,0.8435196560196561,0.7947882736156351,-0.058046683046683006,0.6711842529848331,0.638820638820638,0.707002039428959,"[431, 1040]",329,1973,5.996960486322188,3.360324995357816,0,0,True,0.36119436119436105,0.9296751984991121
true_10_Model_2_avec_DC_logic_Filtrage_True_5_0,True,0,10,True,True,0.8404484029484031,0.502115059221658,-0.180743243243243,0.639611515782171,0.566339066339066,0.734661354581673,"[4551, 706]",244,1190,4.8770491803278695,2.858917222674676,45,77,False,0.32762792762792703,1.024934618831451
true_10_Model_2_avec_DC_logic_Filtrage_True_5_0,True,0,10,True,True,0.8404484029484031,0.502115059221658,-0.180743243243243,0.639611515782171,0.566339066339066,0.734661354581673,"[333, 922]",244,1190,4.8770491803278695,2.858917222674676,45,77,False,0.32762792762792703,1.024934618831451
true_10_Model_2_avec_DC_logic_Filtrage_False_5_0,True,0,10,True,False,0.8436732186732181,0.5755068266446001,-0.157555282555282,0.6722472633612361,0.6412776412776411,0.706359945872801,"[4450, 584]",329,1596,4.851063829787234,2.630024285752153,0,0,False,0.36228216228216203,0.9265122732336091
true_10_Model_2_avec_DC_logic_Filtrage_False_5_0,True,0,10,True,False,0.8436732186732181,0.5755068266446001,-0.157555282555282,0.6722472633612361,0.6412776412776411,0.706359945872801,"[434, 1044]",329,1596,4.851063829787234,2.630024285752153,0,0,False,0.36228216228216203,0.9265122732336091
true_10_Model_2_avec_DC_logic_Filtrage_Fairness_True_5F_100,True,100,10,True,True,0.8410626535626531,1.0,0.0,0.663414634146341,0.626535626535626,0.7049067035245331,"[4457, 608]",253,1247,4.928853754940712,2.809300876267081,54,57,True,0.436319236319236,0.738070344693289
true_10_Model_2_avec_DC_logic_Filtrage_Fairness_True_5F_100,True,100,10,True,True,0.8410626535626531,1.0,0.0,0.663414634146341,0.626535626535626,0.7049067035245331,"[427, 1020]",253,1247,4.928853754940712,2.809300876267081,54,57,True,0.436319236319236,0.738070344693289
true_10_Model_2_avec_DC_logic_Filtrage_Fairness_True_5F_50,True,50,10,True,True,0.840755528255528,0.734478935698447,-0.07355651105651101,0.657868690201253,0.612407862407862,0.710620099786172,"[4478, 631]",253,1247,4.928853754940712,2.809300876267081,54,57,True,0.403196803196803,0.793388929137771
true_10_Model_2_avec_DC_logic_Filtrage_Fairness_True_5F_50,True,50,10,True,True,0.840755528255528,0.734478935698447,-0.07355651105651101,0.657868690201253,0.612407862407862,0.710620099786172,"[406, 997]",253,1247,4.928853754940712,2.809300876267081,54,57,True,0.403196803196803,0.793388929137771
true_10_Model_2_avec_DC_logic_Filtrage_Fairness_False_5F_100,True,100,10,True,False,0.841830466830466,1.0,0.0,0.6713465220165921,0.646191646191646,0.6985391766268261,"[4430, 576]",329,1596,4.851063829787234,2.630024285752153,0,0,True,0.41920301920301906,0.748510960026578
true_10_Model_2_avec_DC_logic_Filtrage_Fairness_False_5F_100,True,100,10,True,False,0.841830466830466,1.0,0.0,0.6713465220165921,0.646191646191646,0.6985391766268261,"[454, 1052]",329,1596,4.851063829787234,2.630024285752153,0,0,True,0.41920301920301906,0.748510960026578
true_10_Model_2_avec_DC_logic_Filtrage_Fairness_False_5F_50,True,50,10,True,False,0.8430589680589681,0.7302949061662191,-0.077242014742014,0.6677503250975291,0.63083538083538,0.709254143646408,"[4463, 601]",329,1596,4.851063829787234,2.630024285752153,0,0,True,0.37076257076257,0.8898005115330491
true_10_Model_2_avec_DC_logic_Filtrage_Fairness_False_5F_50,True,50,10,True,False,0.8430589680589681,0.7302949061662191,-0.077242014742014,0.6677503250975291,0.63083538083538,0.709254143646408,"[421, 1027]",329,1596,4.851063829787234,2.630024285752153,0,0,True,0.37076257076257,0.8898005115330491
true_10_Model_3_sans_DC_logic_Filtrage_True_5_0,False,0,10,True,True,0.8349201474201471,0.7475442043222,-0.07893120393120301,0.6577523081821071,0.669041450777202,0.646837820914214,"[4404, 511]",269,2393,8.895910780669144,7.123208181883275,31,17,False,0.36973652894358505,0.8451585774465571
true_10_Model_3_sans_DC_logic_Filtrage_True_5_0,False,0,10,True,True,0.8349201474201471,0.7475442043222,-0.07893120393120301,0.6577523081821071,0.669041450777202,0.646837820914214,"[564, 1033]",269,2393,8.895910780669144,7.123208181883275,31,17,False,0.36973652894358505,0.8451585774465571
true_10_Model_3_sans_DC_logic_Filtrage_False_5_0,False,0,10,True,False,0.837223587223587,0.7293196279980421,-0.084920147420147,0.658505154639175,0.6619170984455951,0.655128205128205,"[4430, 522]",310,2585,8.338709677419354,6.789326415321134,0,0,False,0.37618509502311603,0.84202442651036
true_10_Model_3_sans_DC_logic_Filtrage_False_5_0,False,0,10,True,False,0.837223587223587,0.7293196279980421,-0.084920147420147,0.658505154639175,0.6619170984455951,0.655128205128205,"[538, 1022]",310,2585,8.338709677419354,6.789326415321134,0,0,False,0.37618509502311603,0.84202442651036
true_10_Model_3_sans_DC_logic_Filtrage_Fairness_True_5F_100,False,100,10,True,True,0.8353808353808351,1.0,0.0,0.655526992287917,0.6606217616580311,0.6505102040816321,"[4420, 524]",271,2403,8.867158671586715,7.104703943593628,31,14,True,0.41404067038101006,0.7938734970883331
true_10_Model_3_sans_DC_logic_Filtrage_Fairness_True_5F_100,False,100,10,True,True,0.8353808353808351,1.0,0.0,0.655526992287917,0.6606217616580311,0.6505102040816321,"[548, 1020]",271,2403,8.867158671586715,7.104703943593628,31,14,True,0.41404067038101006,0.7938734970883331
true_10_Model_3_sans_DC_logic_Filtrage_Fairness_True_5F_50,False,50,10,True,True,0.831541769041769,0.880558428128231,-0.035472972972972,0.6716551930559711,0.726683937823834,0.624373956594323,"[4293, 422]",270,2398,8.881481481481481,7.113942337620568,31,16,True,0.37643809020496305,0.8373759694094821
true_10_Model_3_sans_DC_logic_Filtrage_Fairness_True_5F_50,False,50,10,True,True,0.831541769041769,0.880558428128231,-0.035472972972972,0.6716551930559711,0.726683937823834,0.624373956594323,"[675, 1122]",270,2398,8.881481481481481,7.113942337620568,31,16,True,0.37643809020496305,0.8373759694094821
true_10_Model_3_sans_DC_logic_Filtrage_Fairness_False_5F_100,False,100,10,True,False,0.836762899262899,1.0,0.0,0.656986124556308,0.659326424870466,0.6546623794212211,"[4431, 526]",310,2585,8.338709677419354,6.789326415321134,0,0,True,0.424222320921577,0.7816203453024011
true_10_Model_3_sans_DC_logic_Filtrage_Fairness_False_5F_100,False,100,10,True,False,0.836762899262899,1.0,0.0,0.656986124556308,0.659326424870466,0.6546623794212211,"[537, 1018]",310,2585,8.338709677419354,6.789326415321134,0,0,True,0.424222320921577,0.7816203453024011
true_10_Model_3_sans_DC_logic_Filtrage_Fairness_False_5F_50,False,50,10,True,False,0.8303132678132671,0.9115934356802541,-0.025644963144963003,0.667469154378573,0.7182642487046631,0.623383923552557,"[4298, 435]",310,2585,8.338709677419354,6.789326415321134,0,0,True,0.37363827685918605,0.8471815362240751
true_10_Model_3_sans_DC_logic_Filtrage_Fairness_False_5F_50,False,50,10,True,False,0.8303132678132671,0.9115934356802541,-0.025644963144963003,0.667469154378573,0.7182642487046631,0.623383923552557,"[670, 1109]",310,2585,8.338709677419354,6.789326415321134,0,0,True,0.37363827685918605,0.8471815362240751
true_10_Model_3_avec_DC_logic_Filtrage_True_5_0,True,0,10,True,True,0.8349201474201471,0.7475442043222,-0.07893120393120301,0.6577523081821071,0.669041450777202,0.646837820914214,"[4404, 511]",269,1622,6.029739776951673,4.541326993473604,31,17,False,0.36973652894358505,0.8451585774465571
true_10_Model_3_avec_DC_logic_Filtrage_True_5_0,True,0,10,True,True,0.8349201474201471,0.7475442043222,-0.07893120393120301,0.6577523081821071,0.669041450777202,0.646837820914214,"[564, 1033]",269,1622,6.029739776951673,4.541326993473604,31,17,False,0.36973652894358505,0.8451585774465571
true_10_Model_3_avec_DC_logic_Filtrage_False_5_0,True,0,10,True,False,0.837223587223587,0.7293196279980421,-0.084920147420147,0.658505154639175,0.6619170984455951,0.655128205128205,"[4430, 522]",310,1782,5.748387096774193,4.314407294376481,0,0,False,0.37618509502311603,0.84202442651036
true_10_Model_3_avec_DC_logic_Filtrage_False_5_0,True,0,10,True,False,0.837223587223587,0.7293196279980421,-0.084920147420147,0.658505154639175,0.6619170984455951,0.655128205128205,"[538, 1022]",310,1782,5.748387096774193,4.314407294376481,0,0,False,0.37618509502311603,0.84202442651036
true_10_Model_3_avec_DC_logic_Filtrage_Fairness_True_5F_100,True,100,10,True,True,0.8369164619164621,1.0,0.0,0.654071661237784,0.650259067357512,0.6579292267365661,"[4446, 540]",272,1625,5.974264705882353,4.540997822510868,28,13,True,0.431915248488119,0.7782941909464931
true_10_Model_3_avec_DC_logic_Filtrage_Fairness_True_5F_100,True,100,10,True,True,0.8369164619164621,1.0,0.0,0.654071661237784,0.650259067357512,0.6579292267365661,"[522, 1004]",272,1625,5.974264705882353,4.540997822510868,28,13,True,0.431915248488119,0.7782941909464931
true_10_Model_3_avec_DC_logic_Filtrage_Fairness_True_5F_50,True,50,10,True,True,0.8338452088452081,0.809152366094643,-0.056357493857493,0.662297128589263,0.687176165803108,0.639156626506024,"[4369, 483]",271,1620,5.977859778597786,4.548981946311244,28,15,True,0.39173961361076604,0.803316673753915
true_10_Model_3_avec_DC_logic_Filtrage_Fairness_True_5F_50,True,50,10,True,True,0.8338452088452081,0.809152366094643,-0.056357493857493,0.662297128589263,0.687176165803108,0.639156626506024,"[599, 1061]",271,1620,5.977859778597786,4.548981946311244,28,15,True,0.39173961361076604,0.803316673753915
true_10_Model_3_avec_DC_logic_Filtrage_Fairness_False_5F_100,True,100,10,True,False,0.836762899262899,1.0,0.0,0.6565428109854601,0.658031088082901,0.655061250805931,"[4433, 528]",310,1782,5.748387096774193,4.314407294376481,0,0,True,0.435803878135031,0.767549378933557
true_10_Model_3_avec_DC_logic_Filtrage_Fairness_False_5F_100,True,100,10,True,False,0.836762899262899,1.0,0.0,0.6565428109854601,0.658031088082901,0.655061250805931,"[535, 1016]",310,1782,5.748387096774193,4.314407294376481,0,0,True,0.435803878135031,0.767549378933557
true_10_Model_3_avec_DC_logic_Filtrage_Fairness_False_5F_50,True,50,10,True,False,0.8324631449631451,0.83150756390193,-0.049600737100737,0.6639975361872491,0.698186528497409,0.63300058719906,"[4343, 466]",310,1782,5.748387096774193,4.314407294376481,0,0,True,0.43503927047433705,0.73907886421937
true_10_Model_3_avec_DC_logic_Filtrage_Fairness_False_5F_50,True,50,10,True,False,0.8324631449631451,0.83150756390193,-0.049600737100737,0.6639975361872491,0.698186528497409,0.63300058719906,"[625, 1078]",310,1782,5.748387096774193,4.314407294376481,0,0,True,0.43503927047433705,0.73907886421937
true_10_Model_4_sans_DC_logic_Filtrage_True_5_0,False,0,10,True,True,0.8390663390663391,0.630460448642266,-0.04806511056511,0.512104283054003,0.365934797072521,0.852713178294573,"[4914, 953]",205,1661,8.102439024390243,4.330745883195938,71,40,False,0.38718764493565905,0.843759237272347
true_10_Model_4_sans_DC_logic_Filtrage_True_5_0,False,0,10,True,True,0.8390663390663391,0.630460448642266,-0.04806511056511,0.512104283054003,0.365934797072521,0.852713178294573,"[95, 550]",205,1661,8.102439024390243,4.330745883195938,71,40,False,0.38718764493565905,0.843759237272347
